TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,[Prim’s Algorithm with a Java Implementation | Baeldung](https://www.baeldung.com/java-prim-algorithm),4,3,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Graph Representation Tutorials & Notes | Algorithms | HackerEarth](https://www.hackerearth.com/practice/algorithms/graphs/graph-representation/tutorial/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Shortest path algorithm,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Dijkstra Algorithm in Java | Baeldung](https://www.baeldung.com/java-dijkstra),4,3,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Topological sort,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,"BFS and DFS -  Know their computational complexity, their tradeoffs, and how to implement them in real code.",4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Graph Implementation and Traversal Algorithms (Java) | Section](https://www.section.io/engineering-education/graph-traversals-java/),4,3,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Algorithms @Week_2,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,A star alogrithm,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Travelling sales man,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Knapsack,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[How to solve the Knapsack Problem with dynamic programming](https://medium.com/@fabianterh/how-to-solve-the-knapsack-problem-with-dynamic-programming-eb88c706d3cf),4,3,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,NP complete,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Chapter 20 - DS and Algo Karumanchi text,4,3,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,N choose K problems,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Rabin Karp - strstr,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Greedy,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Divide and conquer,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Dijkstras,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Hash tables @Week_3,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Implement hash maps and hash tables using arrays,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,How does hash tables work?,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,What is the difference bw hash tables and hash maps,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Recursion @Week_3,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Dynamic programming @Week_3,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[What is Dynamic Programming? - Grokking Dynamic Programming Patterns for Coding Interviews](https://www.educative.io/courses/grokking-dynamic-programming-patterns-for-coding-interviews/m2G1pAq0OO0),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Priority Queues and Heaps @Week_3,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Backtracking @Week_3,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[backtracking](https://cs.lmu.edu/~ray/notes/backtracking/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,N Queens,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Behavioural @Week_4,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Top 30 Google Interview Questions (Example Answers Included)](https://theinterviewguys.com/google-interview-questions/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,One product that you would want to improve in Google,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Behavioral Interviews: how to prepare and ace interview questions](https://www.educative.io/blog/behavioral-interviews-how-to-prepare-and-ace-interview-questions),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Microsoft OneDrive - Access files anywhere. Create docs with free Office Online.](https://onedrive.live.com/redir?resid=FB246C7781C6B5A7%21136&page=Edit&wd=target%28Google%20Interview%20Prep.one%7Ced3d7136-c10e-4eb5-b78b-75f0da27bdb0%2FBehavioural%7C6f06d2e1-e3a4-453f-b2cf-806db260988e%2F%29&wdorigin=703),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Basics of how search works @Week_4,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[How Google Search Works for Beginners | Google Search Central](https://developers.google.com/search/docs/basics/how-search-works),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[How Google's Site Crawlers Index Your Site - Google Search](https://www.google.com/search/howsearchworks/crawling-indexing/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Cloud @Week_4,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Operating Systems @Week_4,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Multithreading and Concurrency Fundamentals](https://www.educative.io/blog/multithreading-and-concurrency-fundamentals),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Context switching,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Process in Operating Systems | Studytonight](https://www.studytonight.com/operating-system/operating-system-processes),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
